Data;Taxa de câmbio - R$ / US$ - comercial - venda - média - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERV12;
1996.09;1,0193;
1996.10;1,0251;
1996.11;1,0304;
1996.12;1,0373;
1997.01;1,0429;
1997.02;1,0493;
1997.03;1,0567;
1997.04;1,0609;
1997.05;1,0683;
1997.06;1,0746;
1997.07;1,0807;
1997.08;1,0879;
1997.09;1,0936;
1997.10;1,1001;
1997.11;1,1073;
1997.12;1,1136;
1998.01;1,1199;
1998.02;1,1337;
1998.03;1,1337;
1998.04;1,1412;
1998.05;1,1481;
1998.06;1,1546;
1998.07;1,1615;
1998.08;1,1717;
1998.09;1,1809;
1998.10;1,1884;
1998.11;1,1937;
1998.12;1,2054;
1999.01;1,5019;
1999.02;1,9137;
1999.03;1,8968;
1999.04;1,6941;
1999.05;1,6835;
1999.06;1,7654;
1999.07;1,8003;
1999.08;1,8807;
